date,total_value,cash,position_value
2020-01-02,1000000.0,1000000.0,0.0
2020-01-03,1000000.0,1000000.0,0.0
2020-01-06,1000000.0,1000000.0,0.0
2020-01-07,1000000.0,1000000.0,0.0
2020-01-08,1000000.0,1000000.0,0.0
2020-01-09,1000000.0,1000000.0,0.0
2020-01-10,1000000.0,1000000.0,0.0
2020-01-13,1000000.0,1000000.0,0.0
2020-01-14,1000000.0,1000000.0,0.0
2020-01-15,1000000.0,1000000.0,0.0
2020-01-16,1000000.0,1000000.0,0.0
2020-01-17,1000000.0,1000000.0,0.0
2020-01-20,1000000.0,1000000.0,0.0
2020-01-21,1000000.0,1000000.0,0.0
2020-01-22,1000000.0,1000000.0,0.0
2020-01-23,1000000.0,1000000.0,0.0
2020-02-03,1000000.0,1000000.0,0.0
2020-02-04,1000000.0,1000000.0,0.0
2020-02-05,1000000.0,1000000.0,0.0
2020-02-06,1000000.0,1000000.0,0.0
2020-02-07,1000000.0,1000000.0,0.0
2020-02-10,1000000.0,1000000.0,0.0
2020-02-11,1000000.0,1000000.0,0.0
2020-02-12,1000000.0,1000000.0,0.0
2020-02-13,1000000.0,1000000.0,0.0
2020-02-14,1000000.0,1000000.0,0.0
2020-02-17,1000000.0,1000000.0,0.0
2020-02-18,1000000.0,1000000.0,0.0
2020-02-19,1000000.0,1000000.0,0.0
2020-02-20,1000000.0,1000000.0,0.0
2020-02-21,1000000.0,1000000.0,0.0
2020-02-24,1000000.0,1000000.0,0.0
2020-02-25,1000000.0,1000000.0,0.0
2020-02-26,1000000.0,1000000.0,0.0
2020-02-27,1000000.0,1000000.0,0.0
2020-02-28,1000000.0,1000000.0,0.0
2020-03-02,1000000.0,1000000.0,0.0
2020-03-03,1000000.0,1000000.0,0.0
2020-03-04,1000000.0,1000000.0,0.0
2020-03-05,1000000.0,1000000.0,0.0
2020-03-06,1000000.0,1000000.0,0.0
2020-03-09,1000000.0,1000000.0,0.0
2020-03-10,1000000.0,1000000.0,0.0
2020-03-11,1000000.0,1000000.0,0.0
2020-03-12,1000000.0,1000000.0,0.0
2020-03-13,1000000.0,1000000.0,0.0
2020-03-16,1000000.0,1000000.0,0.0
2020-03-17,1000000.0,1000000.0,0.0
2020-03-18,1000000.0,1000000.0,0.0
2020-03-19,1000000.0,1000000.0,0.0
2020-03-20,1000000.0,1000000.0,0.0
2020-03-23,1000000.0,1000000.0,0.0
2020-03-24,1000000.0,1000000.0,0.0
2020-03-25,1000000.0,1000000.0,0.0
2020-03-26,1000000.0,1000000.0,0.0
2020-03-27,1000000.0,1000000.0,0.0
2020-03-30,1000000.0,1000000.0,0.0
2020-03-31,1000000.0,1000000.0,0.0
2020-04-01,1000000.0,1000000.0,0.0
2020-04-02,1000000.0,1000000.0,0.0
2020-04-03,1000000.0,1000000.0,0.0
2020-04-07,1000000.0,1000000.0,0.0
2020-04-08,1000000.0,1000000.0,0.0
2020-04-09,1000000.0,1000000.0,0.0
2020-04-10,1000000.0,1000000.0,0.0
2020-04-13,1000000.0,1000000.0,0.0
2020-04-14,786774.2128765001,786774.2128765001,0.0
2020-04-15,998676.2128765001,786774.2128765001,211902.0
2020-04-16,995846.2128765001,786774.2128765001,209072.0
2020-04-17,1000099.2128765001,786774.2128765001,213325.0
2020-04-20,1000866.2128765001,786774.2128765001,214092.0
2020-04-21,996424.2128765001,786774.2128765001,209650.0
2020-04-22,1002414.2128765001,786774.2128765001,215640.0
2020-04-23,1003649.2128765001,786774.2128765001,216875.0
2020-04-24,1004134.2128765001,786774.2128765001,217360.0
2020-04-27,1006167.2128765001,786774.2128765001,219393.0
2020-04-28,1016019.2128765001,786774.2128765001,229245.0
2020-04-29,1010546.2128765001,786774.2128765001,223772.0
2020-04-30,1010968.2128765001,786774.2128765001,224194.0
2020-05-06,1014784.2128765001,786774.2128765001,228010.0
2020-05-07,1020570.2128765001,786774.2128765001,233796.0
2020-05-08,1022118.2128765001,786774.2128765001,235344.0
2020-05-11,621973.3960725002,388271.3960725001,233702.00000000006
2020-05-12,1021367.3960725002,388271.3960725001,633096.0
2020-05-13,1023383.3960725002,388271.3960725001,635112.0
2020-05-14,1018524.3960725002,388271.3960725001,630253.0
2020-05-15,1016835.3960725002,388271.3960725001,628564.0
2020-05-18,1026027.3960725002,388271.3960725001,637756.0
2020-05-19,1029747.3960724999,388271.3960725001,641475.9999999998
2020-05-20,1029096.3960725002,388271.3960725001,640825.0
2020-05-21,1027658.3960725002,388271.3960725001,639387.0
2020-05-22,1005190.3960725002,388271.3960725001,616919.0
2020-05-25,1009106.3960725002,388271.3960725001,620835.0
2020-05-26,1012630.3960725002,388271.3960725001,624359.0
2020-05-27,1010721.3960725002,388271.3960725001,622450.0
2020-05-28,1014849.3960725002,388271.3960725001,626578.0
2020-05-29,1014200.3960725002,388271.3960725001,625929.0
2020-06-01,1037408.3960725002,388271.3960725001,649137.0
2020-06-02,1047865.3960725002,388271.3960725001,659594.0
2020-06-03,1050540.3960725002,388271.3960725001,662269.0
2020-06-04,1052118.3960725002,388271.3960725001,663847.0
2020-06-05,1054825.3960725002,388271.3960725001,666554.0
2020-06-08,1062455.3960725002,388271.3960725001,674184.0
2020-06-09,1064526.3960725002,388271.3960725001,676255.0
2020-06-10,1060001.3960725002,388271.3960725001,671730.0
2020-06-11,1049610.3960725002,388271.3960725001,661339.0
2020-06-12,1051510.3960725002,388271.3960725001,663239.0
2020-06-15,1036745.3960725002,388271.3960725001,648474.0
2020-06-16,1042225.3960725002,388271.3960725001,653954.0
2020-06-17,1037250.3960724999,388271.3960725001,648978.9999999998
2020-06-18,1043000.3960725002,388271.3960725001,654729.0
2020-06-19,1054371.3960725002,388271.3960725001,666100.0
2020-06-22,1050673.3960725002,388271.3960725001,662402.0
2020-06-23,1054573.3960725002,388271.3960725001,666302.0
2020-06-24,1056998.3960725002,388271.3960725001,668727.0
2020-06-29,1049262.3960725002,388271.3960725001,660991.0
2020-06-30,1056795.3960725002,388271.3960725001,668524.0
2020-07-01,1083858.3960725002,388271.3960725001,695587.0
2020-07-02,1107603.3960725002,388271.3960725001,719332.0
2020-07-03,1115806.3960725002,388271.3960725001,727535.0
2020-07-06,1151786.3960725002,388271.3960725001,763515.0
2020-07-07,1161650.3960725002,388271.3960725001,773379.0
2020-07-08,1175805.3960725002,388271.3960725001,787534.0
2020-07-09,1177472.3960725002,388271.3960725001,789201.0
2020-07-10,1165417.3960725002,388271.3960725001,777146.0
2020-07-13,1183028.3960725002,388271.3960725001,794757.0
2020-07-14,1182163.3960725002,388271.3960725001,793892.0
2020-07-15,1181748.3960725002,388271.3960725001,793477.0
2020-07-16,1137134.3960725002,388271.3960725001,748863.0
2020-07-17,1142163.3960725002,388271.3960725001,753892.0
2020-07-20,1159306.3960725002,388271.3960725001,771035.0
2020-07-21,1155613.3960725002,388271.3960725001,767342.0
2020-07-22,1156821.3960725002,388271.3960725001,768550.0
2020-07-23,1154186.3960725002,388271.3960725001,765915.0
2020-07-24,1131012.3960725002,388271.3960725001,742741.0
2020-07-27,1132514.3960725002,388271.3960725001,744243.0
2020-07-28,1147756.3960725002,388271.3960725001,759485.0
2020-07-29,1153705.3960725002,388271.3960725001,765434.0
2020-07-30,1149704.3960725002,388271.3960725001,761433.0
2020-07-31,1150925.3960725002,388271.3960725001,762654.0
2020-08-03,1153862.3960725002,388271.3960725001,765591.0
2020-08-04,1161563.3960725002,388271.3960725001,773292.0
2020-08-05,1156798.3960725002,388271.3960725001,768527.0
2020-08-06,1146792.3960725002,388271.3960725001,758521.0
2020-08-07,1136976.3960725002,388271.3960725001,748705.0
2020-08-10,1138176.3960725002,388271.3960725001,749905.0
2020-08-11,1140473.4265325002,798319.4265325002,342154.0
2020-08-12,1136516.4265325002,798319.4265325002,338197.0
2020-08-13,1137189.4265325002,798319.4265325002,338870.0
2020-08-14,1145552.8375075003,344249.8375075002,801303.0000000001
2020-08-17,1171771.8375075003,344249.8375075002,827522.0000000001
2020-08-18,1165658.8375075003,344249.8375075002,821409.0000000001
2020-08-19,1159991.8375075003,344249.8375075002,815742.0000000001
2020-08-20,1148020.8375075003,344249.8375075002,803771.0000000001
2020-08-21,1154465.8375075003,344249.8375075002,810216.0000000001
2020-08-24,1162446.8375075003,344249.8375075002,818197.0000000001
2020-08-25,1180635.8375075003,344249.8375075002,836386.0000000001
2020-08-26,1175465.8375075003,344249.8375075002,831216.0000000001
2020-08-27,1176349.8375075003,344249.8375075002,832100.0000000001
2020-08-28,1187154.8375075003,344249.8375075002,842905.0000000001
2020-08-31,1178324.0702225002,787691.0702225002,390633.0
2020-09-01,1172444.0702225002,787691.0702225002,384753.0
2020-09-02,1170505.0702225002,787691.0702225002,382814.0
2020-09-03,1176197.0702225002,787691.0702225002,388506.0
2020-09-04,1163029.0702225002,787691.0702225002,375338.0
2020-09-07,1157822.0702225002,787691.0702225002,370131.0
2020-09-08,1150065.0702225002,787691.0702225002,362374.0
2020-09-09,1142356.0702225002,787691.0702225002,354665.0
2020-09-10,1152051.0702225002,787691.0702225002,364360.0
2020-09-11,1159370.0702225002,787691.0702225002,371679.0
2020-09-14,1162810.0702225002,787691.0702225002,375119.0
2020-09-15,1163201.0702225002,787691.0702225002,375510.0
2020-09-16,1156461.0702225002,787691.0702225002,368770.0
2020-09-17,1151191.0702225002,787691.0702225002,363500.0
2020-09-18,1160934.4979225004,342090.4979225003,818844.0
2020-09-21,1144301.4979225004,342090.4979225003,802211.0
2020-09-22,1132245.4979225004,342090.4979225003,790155.0
2020-09-23,1124199.4979225004,342090.4979225003,782109.0
2020-09-24,1112324.4979225004,342090.4979225003,770234.0
2020-09-25,1116227.4979225004,342090.4979225003,774137.0
2020-09-28,1122537.4979225004,342090.4979225003,780447.0
2020-09-29,1116392.4979225004,342090.4979225003,774302.0
2020-09-30,1115786.4979225004,342090.4979225003,773696.0
2020-10-09,1133932.4979225004,342090.4979225003,791842.0
2020-10-12,1170315.4979225004,342090.4979225003,828225.0
2020-10-13,1173625.4979225004,342090.4979225003,831535.0
2020-10-14,1169136.4979225004,342090.4979225003,827046.0
2020-10-15,1168466.4979225004,342090.4979225003,826376.0
2020-10-16,1168172.4979225004,342090.4979225003,826082.0
2020-10-19,1166357.4979225004,342090.4979225003,824267.0
2020-10-20,1170887.4979225004,342090.4979225003,828797.0
2020-10-21,1177739.4979225004,342090.4979225003,835649.0
2020-10-22,1176252.4979225004,342090.4979225003,834162.0
2020-10-23,1174981.4979225004,342090.4979225003,832891.0
2020-10-26,1162454.4979225004,342090.4979225003,820364.0
2020-10-27,1158422.4979225004,342090.4979225003,816332.0
2020-10-28,1161403.4979225004,342090.4979225003,819313.0
2020-10-29,1172657.4979225004,342090.4979225003,830567.0
2020-10-30,1159837.4979225004,342090.4979225003,817747.0
2020-11-02,1159069.4979225004,342090.4979225003,816979.0
2020-11-03,1175683.4979225004,342090.4979225003,833593.0
2020-11-04,1181381.4979225004,342090.4979225003,839291.0
2020-11-05,1198317.4979225004,342090.4979225003,856227.0
2020-11-06,1199873.4979225004,342090.4979225003,857783.0
2020-11-09,1224670.4979225004,342090.4979225003,882580.0
2020-11-10,1230104.4979225004,342090.4979225003,888014.0
2020-11-11,1225541.4979225004,342090.4979225003,883451.0
2020-11-12,1217587.4979225004,342090.4979225003,875497.0
2020-11-13,1204178.4979225004,342090.4979225003,862088.0
2020-11-16,1229937.4979225004,342090.4979225003,887847.0
2020-11-17,1228302.4979225004,342090.4979225003,886212.0
2020-11-18,1226321.4979225004,342090.4979225003,884231.0
2020-11-19,1228093.4979225004,342090.4979225003,886003.0
2020-11-20,1229765.4979225004,342090.4979225003,887675.0
2020-11-23,1244256.4979225004,342090.4979225003,902166.0
2020-11-24,1237165.4979225004,342090.4979225003,895075.0
2020-11-25,1234172.4979225004,342090.4979225003,892082.0
2020-11-26,1239554.4979225004,342090.4979225003,897464.0
2020-11-27,1246804.4979225004,342090.4979225003,904714.0
2020-11-30,1233488.4979225004,342090.4979225003,891398.0
2020-12-01,1255808.4979225004,342090.4979225003,913718.0
2020-12-02,1257267.4979225001,342090.4979225003,915176.9999999998
2020-12-03,1254252.4979225004,342090.4979225003,912162.0
2020-12-04,1264483.4979225004,342090.4979225003,922393.0
2020-12-07,1260565.4979225004,342090.4979225003,918475.0
2020-12-08,1252133.4979225004,342090.4979225003,910043.0
2020-12-09,1247704.4979225004,342090.4979225003,905614.0
2020-12-10,1243586.4979225004,342090.4979225003,901496.0
2020-12-11,1235767.4979225001,342090.4979225003,893676.9999999998
2020-12-14,1252204.4979225004,342090.4979225003,910114.0
2020-12-15,1241857.4979225004,342090.4979225003,899767.0
2020-12-16,1249969.4979225004,342090.4979225003,907879.0
2020-12-17,1265683.4979225004,342090.4979225003,923593.0
2020-12-18,1258486.4979225004,342090.4979225003,916396.0
2020-12-21,1262831.4979225004,342090.4979225003,920741.0
2020-12-22,1249646.4979225004,342090.4979225003,907556.0
2020-12-23,1246610.4979225004,342090.4979225003,904520.0
2020-12-24,1238845.4979225004,342090.4979225003,896755.0
2020-12-25,1234984.4979225004,342090.4979225003,892894.0
2020-12-28,1257485.4979225004,342090.4979225003,915395.0
2020-12-29,1253968.4979225004,342090.4979225003,911878.0
2020-12-30,1264987.4979225004,342090.4979225003,922897.0
2020-12-31,1278039.4979225004,342090.4979225003,935949.0
2021-01-04,1277615.9629025003,796202.9629025003,481413.0
2021-01-05,1311910.9629025003,796202.9629025003,515708.0
2021-01-06,1324921.9629025003,796202.9629025003,528719.0
2021-01-07,1327580.9629025003,796202.9629025003,531378.0
2021-01-08,1307250.9629025003,796202.9629025003,511048.0
2021-01-11,1282541.9629025003,796202.9629025003,486339.0
2021-01-12,1296303.9629025003,796202.9629025003,500101.0
2021-01-13,1289000.9629025003,796202.9629025003,492798.0
2021-01-14,1264088.9629025003,796202.9629025003,467886.0
2021-01-15,1261429.9629025003,796202.9629025003,465227.0
2021-01-18,1256503.9629025003,796202.9629025003,460301.0
2021-01-19,1251734.9629025003,796202.9629025003,455532.0
2021-01-20,1256973.9629025003,796202.9629025003,460771.0
2021-01-21,1275895.9629025003,796202.9629025003,479693.0
2021-01-22,1273721.9629025003,796202.9629025003,477519.0
2021-01-25,1305201.9629025003,796202.9629025003,508999.0
2021-01-26,1289704.9629025003,796202.9629025003,493502.0
2021-01-27,1269061.9629025003,796202.9629025003,472859.0
2021-01-28,1258771.9629025003,796202.9629025003,462569.0
2021-01-29,1266809.9629025003,796202.9629025003,470607.0
2021-02-01,1268607.9629025003,796202.9629025003,472405.0
2021-02-02,1287108.9629025003,796202.9629025003,490906.0
2021-02-03,1294348.9629025003,796202.9629025003,498146.0
2021-02-04,1301933.9629025003,796202.9629025003,505731.0
2021-02-05,1311566.9629025003,796202.9629025003,515364.0
2021-02-08,1311941.9629025003,796202.9629025003,515739.0
2021-02-09,1326798.9629025003,796202.9629025003,530596.0
2021-02-10,1347362.9629025003,796202.9629025003,551160.0
2021-02-18,1333053.9629025003,796202.9629025003,536851.0
2021-02-19,1350099.9629025003,796202.9629025003,553897.0
2021-02-22,1301088.9629025003,796202.9629025003,504886.0
2021-02-23,1304122.9629025003,796202.9629025003,507920.0
2021-02-24,1269843.9629025003,796202.9629025003,473641.0
2021-02-25,1263306.9629025003,796202.9629025003,467104.0
2021-02-26,1249388.9629025003,796202.9629025003,453186.0
2021-03-01,1263494.9629025003,796202.9629025003,467292.0
2021-03-02,1250483.9629025003,796202.9629025003,454281.0
2021-03-03,1256591.2654400002,312692.2654400003,943899.0
2021-03-04,1223242.0696325002,743067.0696325002,480175.0
2021-03-05,1214242.0696325002,743067.0696325002,471175.0
2021-03-08,1216492.0696325002,743067.0696325002,473425.0
2021-03-09,1211992.0696325002,743067.0696325002,468925.0
2021-03-10,1208142.0696325002,743067.0696325002,465075.0
2021-03-11,1223542.0696325002,743067.0696325002,480475.0
2021-03-12,1219492.0696325002,743067.0696325002,476425.0
2021-03-15,1217292.0696325002,743067.0696325002,474225.0
2021-03-16,1218742.0696325002,743067.0696325002,475675.0
2021-03-17,1204442.0696325002,743067.0696325002,461375.0
2021-03-18,1198842.0696325002,743067.0696325002,455775.0
2021-03-19,1189942.0696325002,743067.0696325002,446875.0
2021-03-22,1189387.9203200003,1189387.9203200003,0.0
2021-03-23,1189387.9203200003,1189387.9203200003,0.0
2021-03-24,1189387.9203200003,1189387.9203200003,0.0
2021-03-25,1189387.9203200003,1189387.9203200003,0.0
2021-03-26,1189387.9203200003,1189387.9203200003,0.0
2021-03-29,1189387.9203200003,1189387.9203200003,0.0
2021-03-30,1189387.9203200003,1189387.9203200003,0.0
2021-03-31,1189387.9203200003,1189387.9203200003,0.0
2021-04-01,1189387.9203200003,1189387.9203200003,0.0
2021-04-02,1189387.9203200003,1189387.9203200003,0.0
2021-04-06,1189387.9203200003,1189387.9203200003,0.0
2021-04-07,1189387.9203200003,1189387.9203200003,0.0
2021-04-08,1189387.9203200003,1189387.9203200003,0.0
2021-04-09,1189387.9203200003,1189387.9203200003,0.0
2021-04-12,1189387.9203200003,1189387.9203200003,0.0
2021-04-13,1189387.9203200003,1189387.9203200003,0.0
2021-04-14,1189387.9203200003,1189387.9203200003,0.0
2021-04-15,1189387.9203200003,1189387.9203200003,0.0
2021-04-16,1189387.9203200003,1189387.9203200003,0.0
2021-04-19,1189387.9203200003,1189387.9203200003,0.0
2021-04-20,1189387.9203200003,1189387.9203200003,0.0
2021-04-21,1189387.9203200003,1189387.9203200003,0.0
2021-04-22,1189387.9203200003,1189387.9203200003,0.0
2021-04-23,1189387.9203200003,1189387.9203200003,0.0
2021-04-26,1189387.9203200003,1189387.9203200003,0.0
2021-04-27,1189387.9203200003,1189387.9203200003,0.0
2021-04-28,1189387.9203200003,1189387.9203200003,0.0
2021-04-29,1188334.5917990003,720292.5917990003,468042.0
2021-04-30,1181297.5917990003,720292.5917990003,461005.0
2021-05-06,1167911.5917990003,720292.5917990003,447619.0
2021-05-07,1161124.5917990003,720292.5917990003,440832.0
2021-05-10,1148457.5917990003,720292.5917990003,428165.0
2021-05-11,1166363.5917990003,720292.5917990003,446071.0
2021-05-12,1169584.5917990003,720292.5917990003,449292.0
2021-05-13,1167223.5917990003,720292.5917990003,446931.0
2021-05-14,1184425.5917990003,720292.5917990003,464133.0
2021-05-17,1200360.5917990003,720292.5917990003,480068.0
2021-05-18,1203973.5917990003,720292.5917990003,483681.0
2021-05-19,1209118.5917990003,720292.5917990003,488826.0
2021-05-20,1210244.5917990003,720292.5917990003,489952.0
2021-05-21,1199438.5917990003,720292.5917990003,479146.0
2021-05-24,1212589.5917990003,720292.5917990003,492297.0
2021-05-25,1240770.5917990003,720292.5917990003,520478.0
2021-05-26,1234467.5917990003,720292.5917990003,514175.0
2021-05-27,1233185.5917990003,720292.5917990003,512893.0
2021-05-28,1231183.5917990003,720292.5917990003,510891.0
2021-05-31,1228400.5917990003,720292.5917990003,508108.0
2021-06-01,1229307.5917990003,720292.5917990003,509015.0
2021-06-02,1223270.5917990003,720292.5917990003,502978.0
2021-06-03,1226038.5917990003,720292.5917990003,505746.0
2021-06-04,1228681.5917990003,720292.5917990003,508389.0
2021-06-07,1224944.5917990003,720292.5917990003,504652.0
2021-06-08,1201549.5917990003,720292.5917990003,481257.0
2021-06-09,1199281.5917990003,720292.5917990003,478989.0
2021-06-10,1209524.5917990003,720292.5917990003,489232.0
2021-06-11,1207210.5917990003,720292.5917990003,486918.0
2021-06-15,1203597.5917990003,720292.5917990003,483305.0
2021-06-16,1192744.5917990003,720292.5917990003,472452.0
2021-06-17,1195716.5917990003,720292.5917990003,475424.0
2021-06-18,1190680.5917990003,720292.5917990003,470388.0
2021-06-21,1199860.5917990003,720292.5917990003,479568.0
2021-06-22,1204583.5917990003,720292.5917990003,484291.0
2021-06-23,1190586.5917990003,720292.5917990003,470294.0
2021-06-24,1193339.5917990003,720292.5917990003,473047.0
2021-06-25,1204629.5917990003,720292.5917990003,484337.0
2021-06-28,1214622.5917990003,720292.5917990003,494330.0
2021-06-29,1202487.5917990003,720292.5917990003,482195.0
2021-06-30,1201455.5917990003,720292.5917990003,481163.0
2021-07-01,1201940.5917990003,720292.5917990003,481648.0
2021-07-02,1182908.5917990003,720292.5917990003,462616.0
2021-07-05,1173721.2845640003,1173721.2845640003,0.0
2021-07-06,1173721.2845640003,1173721.2845640003,0.0
2021-07-07,1173721.2845640003,1173721.2845640003,0.0
2021-07-08,1173721.2845640003,1173721.2845640003,0.0
2021-07-09,1173721.2845640003,1173721.2845640003,0.0
2021-07-12,1173721.2845640003,1173721.2845640003,0.0
2021-07-13,1173721.2845640003,1173721.2845640003,0.0
2021-07-14,1173721.2845640003,1173721.2845640003,0.0
2021-07-15,1173721.2845640003,1173721.2845640003,0.0
2021-07-16,1173721.2845640003,1173721.2845640003,0.0
2021-07-19,1173721.2845640003,1173721.2845640003,0.0
2021-07-20,1173721.2845640003,1173721.2845640003,0.0
2021-07-21,1173721.2845640003,1173721.2845640003,0.0
2021-07-22,1173721.2845640003,1173721.2845640003,0.0
2021-07-23,1173721.2845640003,1173721.2845640003,0.0
2021-07-26,1173721.2845640003,1173721.2845640003,0.0
2021-07-27,1173721.2845640003,1173721.2845640003,0.0
2021-07-28,1173721.2845640003,1173721.2845640003,0.0
2021-07-29,1173721.2845640003,1173721.2845640003,0.0
2021-07-30,1173721.2845640003,1173721.2845640003,0.0
